State/UT,cereal,cereal_substitutes,gram,pulses,sugar,salt,milk,vegetables,fruits_fresh,fruits_dry,egg_meat,edible_oil,spices,beverages,food_total,tobacco,fuel,toilet,household,education,medical_hosp,medical_non,conveyance,services,entertainment,rent,taxes,clothing,footwear,durable,nonfood_total,total
Andhra Pradesh,285.01,0.01,7.31,110.79,24.56,5.13,430.8,278.9,217.57,104.96,357.0,119.4,161.82,728.45,2831.72,179.76,356.73,192.38,172.17,402.77,117.24,335.38,605.01,343.84,143.13,577.3,24.41,315.4,48.1,536.2,4349.81,7181.54
Arunachal Pradesh,348.72,0.09,13.04,74.56,23.02,5.17,377.16,510.66,302.53,145.97,744.16,154.28,155.62,1496.01,4350.99,605.37,325.88,258.76,223.63,319.51,60.91,294.87,784.44,512.73,162.91,697.83,28.53,458.0,79.45,668.24,5481.06,9832.05
Assam,292.47,,7.76,73.38,24.38,5.45,303.03,356.27,195.23,98.98,494.14,157.49,147.92,1063.67,3220.17,290.54,340.01,241.52,124.45,217.45,72.24,205.71,508.17,345.25,113.61,321.69,21.47,358.81,46.15,367.06,3574.13,6794.31
Bihar,292.84,0.0,14.63,76.04,28.16,5.32,487.41,284.53,140.39,86.52,238.01,150.68,129.53,544.8,2478.87,100.87,289.02,151.83,115.69,271.07,73.32,228.47,283.22,223.88,77.18,158.04,11.22,264.86,36.39,316.44,2601.5,5080.37
Chhattisgarh,219.93,0.31,15.82,112.83,30.16,4.25,271.93,342.67,136.33,67.12,123.68,134.15,128.64,409.27,1997.1,222.68,321.38,177.3,107.16,218.22,57.79,229.65,445.1,274.02,79.04,158.37,43.98,287.18,44.8,263.55,2930.23,4927.33
Delhi,215.8,0.0,20.41,81.84,45.45,5.22,900.99,339.65,193.1,139.26,138.92,114.53,150.27,1031.31,3376.75,328.53,431.52,281.65,168.36,370.09,41.88,249.29,698.48,612.34,155.64,545.71,1.58,380.06,64.35,828.23,5157.72,8534.46
Goa,288.47,,31.51,95.11,36.85,5.51,542.08,367.87,393.4,98.64,793.38,132.87,206.62,1669.95,4662.26,225.1,417.56,301.25,257.64,168.01,129.8,387.7,964.24,422.28,176.69,401.41,20.28,438.72,79.48,673.53,5063.68,9725.94
Gujarat,272.22,1.32,21.72,93.34,40.73,4.82,660.02,341.48,169.94,76.31,57.52,206.63,186.39,979.75,3112.17,101.36,446.23,223.37,146.12,448.91,184.86,192.37,676.28,351.84,134.55,357.72,35.29,353.31,60.91,349.86,4063.0,7175.17
Haryana,231.8,0.24,19.08,73.77,55.29,5.87,1179.01,385.36,214.19,91.48,85.14,90.43,222.36,825.93,3479.95,231.19,489.09,253.81,179.33,390.11,114.9,246.26,683.52,551.81,153.53,570.63,10.8,473.31,118.29,480.94,4947.5,8427.46
Himachal Pradesh,288.06,0.85,23.86,104.73,43.07,4.58,798.99,370.13,209.05,118.47,146.05,128.06,132.84,1126.91,3495.64,313.94,408.15,318.01,211.92,658.11,128.58,313.21,579.39,541.47,128.33,832.19,15.0,579.94,134.54,564.58,5727.37,9223.0
Jharkhand,314.99,,16.04,77.52,20.38,5.02,361.31,278.47,132.7,59.82,191.96,135.46,143.19,466.83,2203.67,85.32,333.3,180.29,113.93,343.46,90.61,194.22,432.33,266.69,90.84,308.49,14.2,322.11,51.29,362.73,3189.8,5393.48
Karnataka,290.39,0.01,13.87,104.69,35.1,4.51,366.7,258.37,230.82,105.87,316.29,121.77,182.56,1010.95,3041.91,234.26,344.73,243.33,195.16,508.44,161.71,240.82,673.54,404.46,146.46,967.3,31.78,315.29,58.93,507.5,5033.72,8075.62
Kerala,222.92,8.14,15.39,85.75,34.57,3.34,270.05,235.18,277.41,75.64,605.94,110.49,183.42,716.52,2844.76,93.94,415.95,166.54,118.95,331.54,283.72,428.3,814.97,553.25,153.86,300.25,20.96,310.82,57.86,887.2,4938.1,7782.86
Madhya Pradesh,218.16,3.07,13.15,91.0,38.17,3.08,486.51,244.37,127.69,76.1,82.74,112.78,133.82,476.36,2107.02,211.98,304.09,198.57,130.29,379.67,97.65,224.85,513.64,288.83,109.35,179.65,16.22,303.11,58.05,415.03,3430.97,5537.98
Maharashtra,277.9,3.78,11.19,90.61,40.86,4.98,427.25,265.03,186.6,116.38,196.04,132.85,159.12,748.16,2660.75,82.52,466.2,239.2,147.57,509.05,191.22,261.77,600.8,507.35,126.79,668.24,54.64,333.79,62.56,450.11,4701.81,7362.56
Manipur,397.01,,9.44,34.59,16.81,4.32,181.88,316.15,160.39,57.92,558.44,122.38,144.78,590.28,2594.39,298.29,315.4,217.08,114.58,417.19,45.86,182.17,651.87,322.45,92.58,45.47,13.67,297.73,68.03,268.39,3350.77,5945.15
Meghalaya,280.39,,6.31,55.0,31.29,6.29,229.96,437.42,221.2,57.47,676.59,144.56,115.77,824.87,3087.12,377.75,419.81,276.21,189.21,466.77,99.73,161.65,637.14,493.18,108.22,640.57,24.11,421.51,110.58,325.61,4752.04,7839.16
Mizoram,168.15,0.01,0.9,43.8,19.09,6.96,235.27,524.26,230.44,96.53,726.2,152.14,164.8,1223.16,3591.7,469.85,408.89,326.31,216.89,176.61,40.87,205.15,591.25,528.39,126.51,469.92,15.99,436.95,172.53,931.05,5117.17,8708.86
Nagaland,292.79,0.88,2.91,48.23,19.37,4.63,276.07,410.39,211.76,56.94,1283.13,78.31,112.25,848.69,3646.36,326.08,365.91,314.69,191.91,275.18,21.46,186.48,549.36,389.36,110.91,328.64,9.12,610.29,197.74,498.11,4375.24,8021.6
Odisha,305.46,,9.86,106.07,27.55,5.61,225.38,335.84,145.85,41.45,232.91,113.05,144.03,677.54,2370.6,184.09,356.2,182.51,131.42,209.11,73.42,202.52,487.29,263.7,115.83,380.91,18.42,358.72,59.74,430.13,3454.0,5824.6
Punjab,211.59,,22.62,77.31,54.44,4.97,881.95,301.12,163.28,68.12,78.46,119.2,122.85,933.67,3039.56,184.09,553.01,268.08,154.52,409.56,177.09,373.7,629.27,406.87,106.89,232.96,2.87,419.13,110.47,372.2,4319.85,7359.4
Rajasthan,261.56,0.62,12.17,40.98,44.93,4.59,814.39,250.57,148.52,85.59,56.89,103.83,155.32,543.0,2522.96,107.35,461.17,187.94,137.47,491.84,102.23,232.46,630.38,403.08,65.71,299.84,5.77,338.03,66.85,521.07,4051.2,6574.16
Sikkim,381.91,1.26,12.07,106.9,48.82,4.54,1008.71,668.81,276.81,325.1,682.19,218.48,263.04,2441.01,6439.66,836.4,356.59,353.46,319.11,376.43,31.17,273.91,623.86,762.75,271.17,1344.85,22.26,749.53,221.8,943.78,7487.09,13926.75
Tamil Nadu,277.4,0.44,11.49,100.46,22.37,4.42,357.65,299.82,227.3,82.67,398.68,98.97,187.39,1080.24,3149.31,163.62,332.12,220.76,179.52,473.64,174.27,300.03,809.58,420.8,141.4,805.47,16.35,319.82,50.25,608.38,5016.02,8165.32
Telangana,339.37,0.02,5.56,104.15,24.5,5.79,448.4,287.54,236.72,115.3,401.66,119.44,166.4,1142.46,3397.3,320.73,290.97,239.83,156.39,713.89,146.97,279.72,739.47,532.32,199.32,909.46,29.29,361.15,57.27,603.66,5580.45,8977.75
Tripura,277.21,0.01,3.46,71.0,19.52,4.82,386.76,473.0,277.53,100.68,797.8,150.14,206.52,722.57,3491.03,421.34,421.88,254.52,191.11,328.4,106.11,497.73,487.05,316.34,130.87,210.91,21.38,560.99,94.09,499.84,4542.56,8033.58
Uttar Pradesh,198.44,0.17,13.92,74.32,36.64,4.95,569.04,243.12,123.49,80.85,119.97,122.03,133.05,512.06,2232.06,164.94,363.3,166.63,129.73,328.83,94.34,240.8,411.05,296.44,106.83,148.55,9.74,296.14,50.99,354.85,3163.13,5395.19
Uttarakhand,289.08,,13.09,106.25,42.45,5.09,651.49,297.63,136.11,81.14,114.19,118.58,183.58,817.94,2856.62,255.64,388.63,251.4,142.78,448.59,112.73,247.56,666.07,480.7,115.92,417.71,6.33,395.56,81.72,617.88,4629.2,7485.81
West Bengal,291.15,0.01,6.22,56.74,23.39,5.86,240.74,323.14,164.12,44.81,478.83,135.74,155.52,624.05,2550.33,140.48,390.98,186.19,112.91,332.94,106.95,371.45,327.27,276.11,93.69,179.39,16.54,325.93,45.69,318.21,3224.75,5775.08
A & N Island,291.42,,12.26,180.72,44.24,5.07,438.78,682.37,280.15,78.66,601.49,193.46,213.9,1463.02,4485.54,273.73,470.07,331.08,260.29,332.66,238.27,148.87,731.0,540.71,113.44,841.19,22.57,488.12,80.78,1094.66,5967.43,10452.97
Chandigarh,312.78,,31.18,93.41,52.63,5.36,1272.86,445.65,383.84,81.23,212.52,132.52,265.14,1711.87,5001.01,396.18,559.0,429.88,238.29,591.87,43.06,547.31,1237.63,1272.75,193.21,918.35,9.46,908.04,202.88,875.75,8423.66,13424.67
Dadra & Nagar Haveli and Daman & Diu,345.29,0.28,19.58,124.92,29.7,6.16,436.97,449.53,214.04,79.54,201.77,163.88,179.23,939.02,3189.93,248.11,312.83,211.8,149.14,323.07,47.34,149.25,350.29,307.37,71.69,571.6,21.58,399.46,54.97,428.45,3646.96,6836.89
Jammu & Kashmir,243.0,0.27,6.01,75.17,30.19,6.66,673.25,288.61,139.48,92.02,269.7,141.04,129.35,594.88,2689.64,146.6,429.97,177.52,127.79,372.34,75.95,301.31,556.22,336.95,87.04,129.45,5.18,359.3,71.56,459.98,3637.15,6326.79
Ladakh,195.82,,1.94,77.78,23.7,8.08,835.61,399.81,311.93,182.36,507.83,177.46,160.05,1082.51,3964.87,331.95,430.73,165.2,147.81,236.17,45.17,299.98,487.76,387.25,83.78,105.93,0.43,350.29,75.66,419.88,3567.98,7532.85
Lakshadweep,196.58,1.04,17.47,85.29,57.3,3.79,135.94,263.14,314.64,92.51,1140.49,137.71,177.17,826.83,3449.88,64.47,391.81,138.15,90.75,45.32,299.84,250.85,374.89,231.03,49.43,266.43,5.26,255.89,40.32,422.48,2926.92,6376.8
Puducherry,334.51,2.2,23.08,123.58,27.31,6.51,413.11,291.74,293.57,148.28,507.86,216.56,217.47,763.59,3369.36,286.0,463.43,248.04,233.96,414.46,55.41,384.64,957.71,523.98,143.48,615.04,43.41,347.87,62.45,487.83,5267.71,8637.06
All-India,261.97,1.25,13.22,85.26,34.84,4.87,503.47,288.19,183.05,88.1,248.85,126.81,160.61,775.97,2776.46,165.89,391.18,212.51,147.49,417.58,137.01,272.35,592.05,400.07,124.21,459.86,22.5,335.95,60.27,480.88,4219.79,6996.26
